name;description;category;year_published
Fuentes de Onoro 1811;"Fuentes de Onoro 1811 focus on the last events of the fight between Mass&eacute;na and Wellington in Portugal and Spain. It includes three battles: Foz do Arouce, Fuentes de O&ntilde;oro and El Bodon 1811 which are thus be the 32nd, 33rd and 34th battles of the series.&#10;&#10;The game is also the 6th entry in the Vae Victis Wargame Collection. The main battle, Fuentes de O&ntilde;oro, has an A2 map and the two smaller ones have A3 maps. The game include 216 counters and markers.&#10;&#10;Foz do Arouce, 15th March 1811&#10;The fight took place just after Redhina and Casal Novo but before Sabugal and Fuentes de Onoro, as Wellington followed Massena out of the lines of Torres Vedras. It included two popular British divisions, the 3rd and the Light. The French under Ney held a ridge with a river behind it that was crossed by a single bridge. The French ridge on their left was much higher than the one on the right. In the centre there was a gap of about 200 yards, occupied by the village of Foz d'Arouce. Some companies of the 95th rifles penetrated down a hollow road there, almost unopposed, quite close to the bridge. The rest of the Light division held Marchand in a frontal fight on the French right. Half of Mermet&rsquo;s division on the French left faced the 3rd Division. The 39th lost its eagle in the river as they tried to cross a deep ford below the bridge, and many men were drowned.&#10;&#10;Fuentes de O&ntilde;oro, 3rd to 5th May 1811&#10;On the 3rd of May, Mass&eacute;na launched a frontal assault against the British-Portuguese pickets holding the barricaded village, while subjecting the British-Portuguese on the heights east of the village to a heavy artillery bombardment. The village was the centre of the fighting for the whole day, with French soldiers of Ferey's and Marchand's divisions clashing with the British redcoats of the 1st and 3rd Divisions. May 4 saw little combat. Both sides recovered from the ferocity of the previous day of fighting and reconsidered their options and battle plans. A French reconnaissance revealed that Wellington's right flank was weakly held by a unit of partisans near the hamlet of Pozo Bello. Action began again at dawn on the 5th of May. Wellington had left the 7th Division exposed on his right flank. Mass&eacute;na launched a heavy attack on the weak British-Portuguese flank, led by Montbrun's dragoons and supported by the infantry divisions of Marchand, Mermet and Solignac. Right away, two 7th Division battalions were roughed up by French light cavalry. This compelled Wellington to send reinforcements to save the 7th Division from annihilation. This was only achieved by the efforts of the Light Division and the British and King's German Legion cavalry. In response, Wellington counterattacked with units from the 1st and 3rd Divisions, plus the Portuguese 6th Ca&ccedil;adores. Led by the 88th Connaught Rangers Foot, this effort broke Drouet's attack and the tide began to turn. Low on ammunition, the French had to resort to the bayonet in a futile attempt to drive the British back. Drouet launched a second attack on the town. This time it was led by three battalions of converged grenadiers from IX Corps. With their old-fashioned bearskin hats, the grenadiers were mistaken for the Imperial Guard. Again, the British fell back. Drouet threw in about half of the battalions from both Conroux and Clapar&egrave;de's divisions, seizing almost the entire town. The French artillery tried to bombard the new British line into submission, but they were outgunned by Wellington's cannon. Finally, with their artillery ammunition dangerously low, the French attacks came to an end. Wellington's men entrenched during the evening.&#10;&#10;El Bodon 25th September 1811&#10;The fight included a French cavalry force of 2500, against a mixed force of Picton&rsquo;s 3rd Division consisting of 1000 men, 500 cavalry and two Portuguese batteries. The French attacked in 3 columns of cavalry with a 4th column in reserve, &quot;since only parts of the hillside were open ground suitable for cavalry.&quot; The attack fell upon the isolated part of Wallace&rsquo;s Brigade covering the road. As the French columns came up the slope they were attacked by Alten&rsquo;s light cavalry one squadron at a time &quot;with the slope in their favour.&rdquo; The individual squadrons then rallied behind their supports. The British had to hold on, to allow time for the widely separated parts of 3rd Division to retire.&#10;&#10;Fuentes de Onoro 1811 includes:&#10;&#10;    A 59 x 40 cm map,&#10;    216 double-sided die-cut counters and markers,&#10;    A color rulebook with scenarios and a player aid.&#10;&#10;&#10;&#10;&#10;Units : Regiments and brigades&#10;Map scale : 500 m/hex.&#10;Turn : 120 minutes&#10;&#10;Complexity : 6 / 9&#10;&#10;Bilingual Rules and Charts (English/French).&#10;&#10;";Napoleonic,Wargame;2011
Next War: Taiwan;"Over sixty years later, and the divisions still run deeper than the straits which separate the Republic of China from the People's Republic of China. Once again, a historically, ethnically, and culturally homogeneous people separated by politics and economics hurl men, weapons, and material into the maelstrom of modern combat in an attempt to settle their bitter division once and for all.&#10;&#10;Next War: Taiwan, the next volume in GMT's series of Next War games and the follow-on to Next War: Korea, allows players to fight a near future war in and around the island of Taiwan. In this sequel, the communist state of China, the PRC, has decided that its time to end the rhetoric and posturing and bring the breakaway republic back into the Socialist Harmonious Society.&#10;&#10;Due to the nature of the &quot;terrain&quot; surrounding Taiwan, the game features an expanded, yet still abstracted and playable, naval system including submarine threats, ASW, mine warfare, and anti-naval strikes. In addition, rules exist for combining Next War: Taiwan with Next War: Korea to simulate an expanded conflict.&#10;&#10;Note: the Next War series is not an Introductory wargame. Rather, we have intended herein to create a system (and a series) that will allow detailed study of modern warfare in various venues as well as engaging gameplay. That said, the Standard Game rules encompass a fairly straightforward ruleset that will, we think, be considered pretty &quot;easy to learn&quot; by experienced wargamers. So players who choose to play Standard Game scenarios can have a relatively quick game when that's what suits them. The real flavor of a war in the theatre, though, comes through in the Advanced Game, where you get much more control over airpower and can more clearly see each side's strengths and weaknesses. For players who want a &quot;mini-monster game&quot; experience, playing the Advanced Game Campaign Scenarios with some or all of the optional rules will definitely &quot;deliver.&quot;&#10;&#10;Ownership of Next War: Korea will NOT be required to play.&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Units&#10;&#10;Ground units in Next War: Taiwan represent primarily brigades, regiments, and battalions of the armies of the two Chinas and the United States. All ground units are rated for their attack and defense strengths, movement capabilities, and unit efficiency.&#10;&#10;Air units represent fighter, bomber, and attack squadrons of the major combatants and are rated for All-Weather Capabilities as well as their range, average pilot skill, and their abilities in Air-to-Air Combat, Close Air Support, and Strike missions.&#10;&#10;Naval units and capabilities are abstracted somewhat in the Next War series. A &quot;Sea Control&quot; mechanism reflects the results of the surface and sub-surface battles, while the game's naval unit counters represent the major Aircraft Carrier Battle Groups and Amphibious Ready Groups of the US Navy. Additional amphibious capabilities are represented by the Special Forces capabilities of each side. Changes to the naval system include&#10;&#10;     Naval Display Play Aid to allow for movement, air ranges, etc. in the seas surrounding Taiwan&#10;     a Submarine Threat Level and ASW Level matrix for the PRC and Allies respectively to represent the subsurface conflict&#10;     naval mine warfare allowing either side to attempt to deny usage of Beaches for Amphibious Assaults or Ports and Beachheads for Sea Transport&#10;     anti-Naval Strikes (including Cruise Missiles) allowing each side to force enemy Naval units to withdraw or risk losses&#10;&#10;&#10;&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Maps and Terrain&#10;&#10;The game's map presents the island of modern-day Taiwan at a scale of roughly 7.5 miles per hex. The map covers the entire island and includes several holding boxes and tracking displays.&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Game System&#10;&#10;A game turn is generally composed of:&#10;&#10;Weather Determination. Bad weather can severely hamper air and naval operations activity and can significantly slow ground operations.&#10;&#10;Initiative Determination and Air/Naval Phase, wherein Air Superiority levels and air availability are determined and Sea Control is established or modified.&#10;&#10;Special Operations Phases in the Advanced Game allowing players to utilize their special operators in various recon and raid missions behind enemy lines.&#10;&#10;Strike Phases in the Advanced Game allowing players to launch air strikes, cruise missiles, and artillery and SSM strikes.&#10;&#10;One or more Movement and Combat Phases that allow both sides to move, react, and fight, with an advantage to the Initiative player on non-Contested turns&#10;&#10;Arrival of Reinforcements and Replacements&#10;Victory Determination&#10;&#10;Combat resolution examines not only unit strengths but also unit efficiency (representing training, doctrine, and morale), as well as the terrain where the combat takes place. The CRT tends to be very bloody in nature, reflecting what we believe will be a degree of attritional warfare early due to the lethality of modern weapons. As in many games, casualties represent not only actual combat losses but also losses of unit cohesion brought about by the rapid pace with which modern armies are able to engage and exploit on the battlefield.&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Scenarios&#10;&#10;There are several Standard Game scenarios. The first three are small and cover the first weeks of the war by dividing the island into roughly three equal sections. These focus on the initial assaults by the PRC to establish beachheads and take Ports and introduce players to the basic mechanics of the system, while giving them insight into attack and defense strategies for the &quot;big game.&quot; Players can also play the entire Campaign Game which uses the entire map and all of the Standard Game rules. One other scenario is provided which examines a theoretical U.S. Amphibious landing in an attempt to take back the island.&#10;&#10;The Advanced Game Scenarios come in three flavors &agrave; la NATO: The Next War in Europe: Strategic Surprise, Tactical Surprise, and Extended Buildup. This offers the players the ability to game out a variety of &quot;At Start&quot; war scenarios based on varying levels of readiness.&#10;&#10;There is also an International Posture Matrix &agrave; la Flashpoint: Golan to allow players to experiment with a variety of intervention options for the non-Chinese players in the region.&#10;&#10;In addition, there is a full set of rules covering how to play a combined Next War: Taiwan/Korea game.&#10;&#10;In Next War: Taiwan, the Taiwan Straits are on fire with the Goliath of the PRC arrayed against the David of the ROC. Can you, as the People's Liberation Army/Naval commander, conquer the separatist rebels in four weeks before the full might of the U.S. can be brought to bear? Can you, as the Republic of China's Army commander, hold out against the renewed Communist assault until help arrives? And what will happen in Korea while all this is going on? There&rsquo;s only one way to find out...&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Components&#10;&#10;&#10;     1 22x34&quot; map&#10;     1 11x17&quot; Naval Display&#10;     3 9/16&quot; counter sheets&#10;     2 rulebooks (Standard + Advanced Rules and Game Specific Rules) &#10;     6 8.5x11&quot; Player Aids &#10;     2 11x17&quot; Player Aids &#10;     1 10-sided die &#10;&#10;&#10;Game Design and Development: Mitchell Land&#10;Original System Design: Gene Billingsley&#10;&#10;TIME SCALE 3.5 days per turn&#10;MAP SCALE 7.5 miles per hex&#10;UNIT SCALE Brigade / Regiment / Battalion&#10;NUMBER OF PLAYERS One or two (can be played in teams)&#10;&#10;";Modern Warfare,Wargame;2014
Robotech RPG Tactics;"Prepare for invasion! Robotech RPG Tactics is a tactical miniatures game set in the Robotech universe. While the 1/285th scale game pieces can be used as a companion to the Robotech RPG, the game system is designed to be played as a tabletop miniatures game. Players build armies of multiple squadrons of mecha to fight it out in scenario-driven, objective-based game play. Take command of the fighting forces of the United Earth Defense Force (UEDF) valiantly defending Earth from alien annihilation &ndash; or lead the massive clone armies of the Zentraedi Armada to recover an alien artifact of immense power and enslave humankind. Depending on the faction, and their choice of mecha, a player's army may include anywhere from two game pieces to as many as you desire! The rules are scalable from small skirmishes to mass combat with hundreds per side.&#10;&#10;Robotech RPG Tactics uses a dynamic turn system. Players trade off activating squadrons during each turn, ensuring that a player never has to sit and wait while his opponent moves and attacks with his entire army. By using alternating activation of squadrons, the game's action unfolds at a fast and furious pace, allowing large scale battles to be easily carried out in a single evening. Each player receives a number of Command Points each turn based on the number of mecha they have on the field, and the quality of their officers. Command Points are spent throughout the turn on maneuvers such as boosted movement, devastating weapon salvos, breakneck dodging counterattacks, and potent special abilities.&#10;&#10;The wide variety of mecha in the boxed game bring to bear the myriad and awesome weapon systems from the Robotech universe to lay waste to your foes. Even the battlefield itself can alter over the course of the game as buildings are leveled by destruction unleashed during the battle.&#10;&#10;";Aviation / Flight,Miniatures,Movies / TV / Radio theme,Science Fiction,Space Exploration;2014
Angry Dice;"Angry Dice is a real-time dice rolling microgame. The object is to be the first to six by rolling your dice in ascending order pairs. Players each have two dice they can roll and they can lock a die (except a 6), if it rolls to something they will need. Each Angry Dice set adds different risks/rewards to the game - the base set of Angry Dice requires the player to start at the beginning if they ever roll double Angry Faces (the 3).&#10;&#10;It was offered as part of the VivaJava: The Coffee Game: The Dice Game Kickstarter campaign which successfully funded with four Angry Dice expansions on July 21, 2013.&#10;&#10;";Dice,Real-time;2014
Logo Party;"Official Game Description:&#10;&#10;It's not what you know that counts, it's what you do! Get your teammates to guess brands based on four different types of clues:&#10;&#10;Draw It!: Draw clues about the brand, without writing words, letters, or numbers.&#10;&#10;Describe It!: Say what you want, but don't say the brand. Hurry, the clock's ticking!&#10;&#10;Do It!: Act out the brand. No talking allowed!&#10;&#10;Reveal It: Both teams watch as a logo is slowly revealed. Be the first to shout out the brand!&#10;&#10;";Party Game;2013
Copa;"Game description from the publisher:&#10;&#10;In celebration of our tenth anniversary as a games publisher, this year we present an exclusive new game: COPA, which comes packaged in an elegant white box that contains nothing more than wood shells and beans &mdash; and a firework of ideas for games from four different classic game disciplines: strategy, memory, skill and bluff. You won't believe the amazing things you can do with cups and beans!&#10;&#10;";Abstract Strategy;2013
DreadBall Xtreme;"DreadBall Xtreme is the underground sports game of the future and the follow-up to DreadBall: The Futuristic Sports Game. In this game, two teams battle it out on the pitch to outscore each other, with all-new twists:&#10;&#10;&bull; No Referee = More Violence for Everyone: with no one to stop the bloodshed, anything goes! Sucker punches and stomps are the norm, and the introduction of explosive collars, deadly traps and bloodsucking aliens only increase the level of violence.&#10;&#10;&bull; Customize your Battlefield: games are organized in prisons and warehouses at a moment&rsquo;s notice, using industrial scenery to shake things up - everywhere from the scoring zone to the ball launch location can change!&#10;&#10;&bull; Play as Enigmatic Sponsors: the powerful organizers behind the game, Sponsors dictate your play-style and are experts in intimidation, blackmail and illegal gambling. Best of all, Sponsors allow you to build entirely unique teams out of any player combination you like!&#10;&#10;Are you ready for an all-new ball game?&#10;&#10;DreadBall Xtreme is a standalone game based in the same world as DreadBall and cross-compatible with it, but DreadBall is not required for play.&#10;&#10;";Miniatures,Science Fiction,Sports;2015
MBT (second edition);"From GMT P500:&#10;&#10;MBT is a complete game system modeling the US 7th Army and the GSFG Soviet mechanized forces of 1987.  It is M1 Abrams (105mm and 120mm armed version)versus a whole stable of Soviet armor with their T-80s, T-72s, T-64s, and upgraded models of T-62 and T-55.  There is even M60A3s sprinkled in to balance out the US tank inventory. Bradley IFVs and CFVs mechanized units are set to take on their counterparts mounted in BMP 1,2s and even a few 3s.  Not to overlooked M113A2s and BTRs and MT-LBs are also set to make their appearance.&#10;&#10;Mechanized infantry and their related weapons are in abundance, including M47 Dragon, M72 LAW, AT-7 Saxon, AT-4 Spigot, and multiple RPG versions.&#10;&#10;The scale is right down in the weeds with individual vehicles, infantry squads, half squads and sections.  Each hex is just 100 meters across, so it is going to be nose-to-nose action at its finest.&#10;&#10;The rules cover the total realm of modern mechanized combat with ATGMs, including TOW and deadly Soviet gun launched missiles like the AT-11 Sniper and AT-8 Songster, special armor (including ERA), advanced night fighting with thermal images and image intensifiers, advance artillery with ICM and laser guided shells, helicopters, including the AH-64A Apache and Mi-24P Hind-F, attack aircraft, including the A-10A Warthog and SU-25 Frogfoot, and missile and gun armed AA units to counter the deadly air threats.  It is all included in this total package.&#10;&#10;";Modern Warfare,Wargame;2016
Beyond the Rhine;"Beyond the Rhine: The Campaign for Northwest Europe, September 1944 - April 1945, begins with the German Army reeling from a string of near-fatal defeats, and in full retreat to the safety of the West Wall where it hopes to make a stand. The Allies, flush with victory, believe one more push will bring them home for Christmas.&#10;&#10;The expected walk-over was not to be, and players will find either army a challenge to command. Allied material superiority is (mostly) balanced by German tenacity, rugged terrain, and lousy weather. Defensive-minded players will be happiest playing the Germans, but players of all temperaments will discover that there is still plenty of torque left in the Axis even at this late stage of the war. The Allies will not cross the Rhine without a tough fight!&#10;&#10;Beyond the Rhine is a big game, with 3.5-mile hexes, 3.5-day turns, and counters for units from battalions up to divisions. At this scale the various Western Front battles&mdash;Market-Garden, H&uuml;rtgen, Bulge, Nordwind, Remagen, etc.&mdash;have an operational ebb and flow, but can also be viewed in relation to the whole front. A comprehensive game like this one, covering the entire Western Front, was long overdue.&#10;&#10;Special rules in this 14th game of the Operational Combat Series have been carefully designed to recreate this fascinating campaign. They include:&#10;&#10;Random events similar to what are found in the award-winning DAK. These cover things like Fuel Shortages, Arty Ammo Stockpiles, Lost Couriers, Railway Strikes, and Dambuster Raids. The 58 possible events add a lot of historical flavor but require very little rules overhead.&#10;The importance and difficulty of the Rhine crossings are distilled into rules allowing the bridges to be blown and repaired, and pontoons to be emplaced.&#10;Background effects of Allied air interdiction are simple and elegant (built into the Terrain Effects Chart and Weather), but the player does have the option to switch some of these planes to normal barrages and sweeps.&#10;The strategic significance of the Ruhr and the Saar, of clearing the left bank of the Rhine, and of major ports such as Antwerp are reflected by simple economic effects and the game&rsquo;s &ldquo;Broadfront&rdquo; restrictions on US supply placement and usage.&#10;The Wacht am Rhein counter-offensive is recreated by simple mechanics for off-map buildup and operational surprise.&#10;Many options are included for players wanting even more realism. For instance, there are rules for German Kampfgruppen and extra restrictions on the plethora of Allied independent units.&#10;Beyond the Rhine features three monster-sized campaigns that use a 44x66-inch map layout and over 1,000 combat units. Also included are several smaller scenarios, including a 9-turn Bulge game played on a special map (otherwise, portions of all four maps would be needed).&#10;&#10;Grand Campaign: 4 maps, 70 turns&#10;Fall of &lsquo;44 (Montgomery): 2 maps, 26 turns&#10;Fall of &lsquo;44 (Bradley): 2 maps, 26 turns&#10;Operation Queen: 1 map, 9 turns&#10;Bulge Campaign: 4 maps, 40 turns&#10;A Time for Trumpets: 1 map, 9 turns&#10;Nordwind: 1 map, 13 turns&#10;Endkampf Campaign: 4 maps, 24 turns&#10;Spring of &lsquo;45 (Montgomery): 2 maps, 24 turns&#10;Spring of &lsquo;45 (Bradley): 2 maps, 24 turns.&#10;&#10;Game Scale:&#10;Turn: 1/2 Week&#10;Hex: 3.5 miles / 5.6 Km &#10;Units: Company to Corps&#10;&#10;Game Inventory:&#10;Five 22&quot; X 34&quot; mapsheets&#10;Eight countersheets (2,240 1/2&quot; dual-side printed counters)&#10;One 48 page OCS rules booklet&#10;One 64 page Beyond the Rhine game rules booklet&#10;Two 4 page OCS Charts &amp; Tables folders&#10;Two 8 page Beyond the Rhine Charts &amp; Tables folders (one each for Allied &amp; Axis)&#10;Three Player Aid Cards (1 sided)&#10;Two 6-sided dice&#10;&#10;";Wargame,World War II;2015
Monopoly: The Legend of Zelda;"Publisher blurb:&#10;&#10;Link tries to save Zelda from Gannondorf's oppressive taxation and inflated Hotel rates! Can Link survive a stop-over in the Realm of Twilight Find out in this Monopoly edition based on the Twilight Princess from Nintendo.&#10;&#10;";Economic,Negotiation,Video Game Theme;2014
Battle for Sularia;"Welcome Battle Commanders! The future of your faction's survival is depending on you! Gain influence and expand your forces to strategically defeat the opposing faction. You win the battle when you reduce your opponent&rsquo;s health to zero. However, a Battle Commander must be cautious if their opponent is off-initiative. Since Battle for Sularia is a round-based card game, if your opponent is off-initiative, they have the chance to strike back and reduce your health total below theirs and thereby defeating you and winning the game!&#10;&#10;FEATURES INCLUDE:&#10;&#10;Multiple Play Modes&#10;With one box, you and your friend can play with the preconstructed 60 card play decks in a head-to-head 2 player game. The two players can then play in our &quot;60/90&quot; constructed format by customizing their play decks with the additional 60 cards provided in the box! If draft play is more your style, one box also supports 2-4 player draft play! An 8 player draft simply requires one additional box. Of course, the game is fully expandable for a variety of casual play modes &ndash; one box supports up to 2 players in casual mode, but there is simply no limit on how many players and formats are available with additional boxes.&#10;&#10;Construction Point Values&#10;Unique &quot;60/90&quot; deck construction system. Each card has a construction point value of 1 to 4 points. Each deck must have a minimum of 60 cards and a deck cannot exceed a total construction value of 90 points. This system pushes the envelope on deck construction and maintains value and interests for all cards within the set &ndash; not just a few select overpowered options.&#10;&#10;Two-resource System&#10;Engaging two-resource system which includes influence and sularium. Influence increases once per round, while each player uses their influence to establish sites on their turn to help build their sularium stockpiles. Sularium is used to deploy combatants, which are used to attack your opponent's sites. The two-resource system in turn provides additional strategies for repeatable game play.&#10;&#10;Round-based Game&#10;Simultaneous combat! The game runs on a round-based system, which allows each player to complete their turn before the round is over.&#10;&#10;Lore and Art&#10;In addition to our engaging game play, we've forged our own path in terms of game setting. This allows us to explore new content and visuals without restrictions, which in turn provides new players with a fresh start and removes the barrier of entry associated with older legacy games and stories.&#10;&#10;EXPANSIONS:&#10;&#10;&#10;&#10;&#10;    &#10;         Command Packs&#10;&#10;    &#10;    &#10;         2016 Releases&#10;&#10;         Release Date&#10;&#10;    &#10;    &#10;         Blood, Profit, and Glory &#10;         Jul 2016&#10;&#10;    &#10;    &#10;         Faction Pack: Exsularian &#10;         Oct 2016&#10;&#10;    &#10;    &#10;         Faction Pack: Protoan &#10;          2016&#10;&#10;    &#10;&#10;&#10;";Card Game,Fighting,Science Fiction;2016
Old School Tactical;"Old School Tactical is a new system for tactical level war-games.  This first game involves small unit engagements are fought on the Eastern Front during 1941-42.&#10;Players contest each scenario using counters representing the soldiers, guns and vehicles that fought these battles.&#10;The unique Impulse system varies the number of actions each side can take in a turn, creating intense firefights.  Play moves back and forth between players and the dynamics of the battle can 'turn on a dime'.&#10;&#10;";Wargame,World War II;2016
Dragon Rampant: Fantasy Wargaming Rules;"Whether you're a nameless Dark Lord looking to conquer the known world, a Champion of Light holding out against the forces of evil or a Northern barbarian facing claimants to a stolen throne, Dragon Rampant allows you to bring those battles to the tabletop.&#10;&#10;Developed from the popular Lion Rampant system, Dragon Rampant is a standalone wargame that recreates the great battles of Fantasy fiction. Scenarios, army lists, and full rules for magic and monsters give players the opportunity to command unruly orc warbands, raise armies of the undead, campaign across an antediluvian world as the warchief of a barbarian tribe, or exploit the power of mighty creatures and extraordinary sorcery.&#10;&#10;An army usually consists of 6-8 units comprised of 6-12 individually based figures. These small units move and fight independently, assuming that they follow your orders rather than just doing their own thing. Command and control is just as important on the battlefield as the power of a troll chieftain or the magic of an archmage.&#10;&#10;";Book,Fantasy,Miniatures,Wargame;2015
AEG Black Friday Black Box 2015;"AEG's second Black Friday Black Box, containing 7 games:&#10;&#10;&#10;     Bacon wars&#10;     Lost Legacy: Flying Garden and Starship (Kanai Factory version)&#10;     Adventure Time Loveletter&#10;     Pretense&#10;     Empire Engine (Cold War Edition)&#10;     Who Stole the Cookie? (Christmas Theme)&#10;     Agent Hunter (or Cypher in same cases)&#10;&#10;&#10;And a bag of AEG logo wooden tokens, in four different colours&#10;&#10;";NA;2015
The Contender: The Game of Presidential Debate;"The Contender is a social card game inspired by the vim and vigor of a real presidential debate.&#10;&#10;To win, you must use facts, attacks and distracts to convince the Moderator that you are fit to lead the free world. The deck brings you hundreds of one-liners based on real presidential quotes that you'll combine to beat your opponents in the debate of the century.&#10;&#10;Players take turns debating an issue drawn from a deck of Topic cards by combining the phrases on the Argument cards to create the most convincing or entertaining argument.&#10;&#10;";Card Game,Party Game,Political;2015
Tanks: Panther vs Sherman;"Tanks: Panther vs Sherman is an easy-to-learn, quick play, small-scale game in which you take command of a tank platoon, seeking to destroy your opponent's tanks and secure victory. Tanks is a flexible game with lots of ways to create a finely-tuned army that fits your play style. In a half-hour, you can pick your tanks and crew, upgrade them to your specifications, defeat your enemy (or die trying), and be ready for the rematch!&#10;&#10;During the game, players go through a number of turns until one player achieves victory. Each turn consists of three Phases:&#10;&#10;&#10;     Movement Phase: Players move each of their tanks in Initiative order starting with the lowest Initiative tanks moving on to the highest Initiative.&#10;     Shooting Phase: Players shoot with each of their tanks in Initiative order starting with the highest Initiative moving on to the lowest Initiative.&#10;     Command Phase: Players mark destroyed tanks, repair special damage, check for victory conditions, shuffle the Critical card deck, and clear all the Speed tokens.&#10;&#10;&#10;";Collectible Components,Dice,Miniatures,Wargame,World War II;2016
Deadzone (2nd Edition);"HUMANS AND ALIENS COLLIDE ON WORLDS ERASED FROM EXISTENCE&#10;&#10;ENTER THE DEADZONE!&#10;In the future, unthinkably powerful mega-corporations own and govern entire planets outright, protecting their interests with vast, private armies. Now, an even greater danger is sweeping the galaxy * a hideous mutagen wiping out entire sectors of space. To stem the carnage, highly classified Containment Protocols are enacted, blockading the infected system and wiping it from navigational charts forever. Here, with the veil of civilisation lifted, rival factions descend into furious conflict, each with a unique claim on the chaos of the Deadzone!&#10;&#10;CHOOSE YOUR SIDE!&#10;Deploy elite Enforcers to mercilessly hunt down the rampaging Plague army as it surges ceaselessly towards total contamination; Oversee the ransacking of abandoned districts by the hulking Marauders as the terrifying Veer-Myn single-mindedly set about bolstering their own numbers; Plunder natural resources with the tech-heavy Forge Fathers as the eclectic Rebs scavenge for discarded gear, or simply scheme in secret as the mysterious Asterians pursue goals known only to themselves. As your collection grows, where will your loyalty lie?&#10;&#10;PREPARE TO DEPLOY!&#10;A tabletop wargame without the hassle, Deadzone strips away unnecessary complications leaving you free to enjoy the excitement and tactical depth of futuristic battle. Starter armies of two rival factions are included in this set, kicking-off your collection of Enforcers and Forge Fathers, along with everything else 2 players need to get right into the action. Assemble your finely detailed miniatures and get ready for fast paced, easy to learn, mission-based skirmishes in a brutal future!&#10;&#10;";Dice,Miniatures,Science Fiction,Wargame;2016
